fecha,producto,region,canal,promocion,precio,inventario_inicial,ventas_unidades,reabastecimiento,inventario_final,lead_time_dias
2024-01-01,Café Premium,Norte,Tienda,0,145.0,1930,84,0,1846,7
2024-01-02,Café Premium,Occidente,Ecommerce,0,145.0,1846,88,0,1758,7
2024-01-03,Café Premium,Centro,Distribuidor,0,145.0,1758,84,0,1674,7
2024-01-04,Café Premium,Sur,Ecommerce,0,145.0,1674,86,0,1588,7
2024-01-05,Café Premium,Centro,Tienda,1,134.85,1588,79,0,1509,7
2024-01-06,Café Premium,Sur,Distribuidor,1,134.85,1509,137,0,1372,7
2024-01-07,Café Premium,Norte,Ecommerce,1,134.85,1372,148,0,1224,7
2024-01-08,Café Premium,Occidente,Distribuidor,0,145.0,1224,92,0,1132,7
2024-01-09,Café Premium,Occidente,Ecommerce,0,145.0,1132,92,2732,3772,7
2024-01-10,Café Premium,Sur,Distribuidor,0,145.0,3772,85,0,3687,7
2024-01-11,Café Premium,Sur,Ecommerce,0,145.0,3687,86,0,3601,7
2024-01-12,Café Premium,Centro,Tienda,0,145.0,3601,81,0,3520,7
2024-01-13,Café Premium,Norte,Distribuidor,0,145.0,3520,109,0,3411,7
2024-01-14,Café Premium,Occidente,Ecommerce,0,145.0,3411,92,0,3319,7
2024-01-15,Café Premium,Norte,Ecommerce,0,145.0,3319,101,0,3218,7
2024-01-16,Café Premium,Centro,Distribuidor,0,145.0,3218,74,0,3144,7
2024-01-17,Café Premium,Norte,Ecommerce,0,145.0,3144,94,0,3050,7
2024-01-18,Café Premium,Norte,Distribuidor,0,145.0,3050,100,0,2950,7
2024-01-19,Café Premium,Centro,Tienda,0,145.0,2950,95,0,2855,7
2024-01-20,Café Premium,Sur,Ecommerce,1,134.85,2855,164,0,2691,7
2024-01-21,Café Premium,Centro,Ecommerce,1,134.85,2691,112,0,2579,7
2024-01-22,Café Premium,Occidente,Tienda,0,145.0,2579,80,0,2499,7
2024-01-23,Café Premium,Occidente,Distribuidor,0,145.0,2499,101,0,2398,7
2024-01-24,Café Premium,Sur,Ecommerce,0,145.0,2398,71,0,2327,7
2024-01-25,Café Premium,Norte,Tienda,0,145.0,2327,76,0,2251,7
2024-01-26,Café Premium,Occidente,Distribuidor,0,145.0,2251,93,0,2158,7
2024-01-27,Café Premium,Centro,Distribuidor,0,145.0,2158,91,0,2067,7
2024-01-28,Café Premium,Occidente,Tienda,0,145.0,2067,109,0,1958,7
2024-01-29,Café Premium,Norte,Tienda,0,145.0,1958,92,0,1866,7
